"Emanuelly Santos","emanuelly.santos.2751.uservice@stresstest.com.br","51496208315","18","22942348","19","999646165","#2F3lq8f","07/11/1952","feminino","0","1","1","credito","1","Tapete Higiênico Super Secão Max para Cães 30 unidades","/colecao/coleira-antipulgas-e-carrapatos","/produto/racao-golden-formula-mini-bits-para-caes-filhotes-de-pequeno-porte-sabor-frango-e-arroz","Snack Petitos Pet Sensations para Cães Sabor Papaia e Linhaça","154268","23362153","bemvindo10"
"Ana Teixeira","ana.teixeira.5801.uservice@stresstest.com.br","92870614322","14","23818871","17","999369579","@+1sCIRn","24/04/1949","feminino","1","1","1","credito","1","Special cat","/outros-pets/lagartos","/produto/peitoral-e-guia-meu-au-au-turma-da-monica-bidu-azul-para-caes","Roupa Cirúrgica Pet Med Para Gatos Ultra Light Geo Cinza","154429","54878-427","bemvindo10"
"Igor da Cunha","igor.da.cunha.5764.uservice@stresstest.com.br","03619548242","20","26304425","10","998911606","!N6U5cV)","04/09/1939","masculino","1","1","1","credito","0","Roupa cirúrgica","/colecao/P202103040-especial-semana-do-consumidor-produtos-com-ate-70-off","/produto/areia-higienica-cats-best-para-gatos","Termômetro Boyu Digital BT-10 Quadrado para Aquários","98973","46867443","bemvindo10"
"Thales Freitas","thales.freitas.1440.uservice@stresstest.com.br","30172496543","11","26891724","10","999445720","+9C7vXrt","27/11/1994","masculino","1","0","1","credito","0","Probiótico Vetnil Cães e Gatos","/cachorro/racas/azawakh","/produto/racao-royal-canin-exigent-gatos-adultos","Brinquedo Mordedor Corda Dental Bone Pastel para Cães Jambo","97645","02975794","bemvindo10"
"Sophia Mendes","sophia.mendes.2362.uservice@stresstest.com.br","14208935642","11","22250853","20","999720752","&Gv9MTPm","19/12/1952","masculino","1","1","1","boleto","0","Feno","/colecao/produtos_nexgard","/produto/shampoo-bellokao-pelos-longos-caes-e-gatos-500ml","Areia Higiênica Kets para Gatos","71694","47566-777","bemvindo10"
"Antônio Oliveira","antonio.oliveira.9782.uservice@stresstest.com.br","08651273444","18","26599081","20","998892381","&&7B5ekb","26/10/1991","feminino","1","0","1","credito","0","Kong","/colecao/orquideas","/produto/repelente-good-pet-contra-mordedura-mundo-animal-200ml","Ração Golden para Gatos Adultos Castrados Sabor Carne","154297","92388-316","bemvindo10"
"Gustavo Henrique Vieira","gustavo.henrique.vieira.4365.uservice@stresstest.com.br","39705281602","20","26082399","14","999873324","#v6#lS*h","25/09/1951","feminino","1","1","1","credito","1","Prediderm Ourofino 5mg 10 Comprimidos","/casa-e-jardim/livros-e-presentes/livros","/produto/tesoura-wahl-clipper-para-gatos","Camiseta Zooz Pets Snoopy Geometry Preta para Cães","93634","72335-460","bemvindo10"
"Ian da Rosa","ian.da.rosa.9874.uservice@stresstest.com.br","93615087259","14","22710250","14","999438333","FJ)31RxJ","11/12/1945","feminino","1","1","1","credito","0","caixa de transporte","/cachorro/roupas/diversos","/produto/peitoral-snoopy-unix-zooz-pets-para-caes","Bandana Griff Dog Flor Rosa para Cães","159601","09264084","bemvindo10"
"Mariana da Cruz","mariana.da.cruz.7315.uservice@stresstest.com.br","27301465980","18","23337580","12","999232211","&)dv1rUv","12/12/1930","feminino","1","1","1","credito","0","Peitoral","/cachorro;/racas/pug","/produto/floreira-desli-vicenza-marrom","Suplemento Ativi para Cães e Gatos 40mg","85305","09043-917","bemvindo10"
"Kamilly Barbosa","kamilly.barbosa.7152.uservice@stresstest.com.br","43710569893","18","28584293","20","998984905","V4&4DbKF","20/07/1971","feminino","1","1","1","credito","0","Ração Golden  Fórmula para Cães Adultos Sabor Frango e Arroz","/colecao/selecao-de-ossos-para-cachorros","/produto/banho-a-seco-docg-dry-shower-em-spray-para-caes-e-gatos-150ml","Bandeja DuraPets Furbox Vermelha para Gatos","152964","43859416","bemvindo10"
